Campaign,Country,Device,Date,Spend,Revenue,Impressions,Clicks,Purchases
Summer Sale,CA,mobile,2025-01-01,195.06,663.6,38329,494,31
Retargeting,CA,mobile,2025-01-01,94.89,393.3,17613,231,12
Prospecting,US,mobile,2025-01-01,282.4,549.26,57940,1036,38
Brand Awareness,US,desktop,2025-01-01,335.67,377.06,63551,1846,74
Holiday Push,CA,mobile,2025-01-01,106.12,435.13,22945,590,37
Summer Sale,FR,tablet,2025-01-02,231.1,923.46,49252,1292,73
Retargeting,DE,mobile,2025-01-02,73.38,309.8,16119,403,31
Prospecting,FR,tablet,2025-01-02,232.02,409.85,53375,617,25
Brand Awareness,DE,desktop,2025-01-02,378.6,481.22,81985,964,61
Holiday Push,US,mobile,2025-01-02,129.87,559.08,28363,574,35
Summer Sale,CA,tablet,2025-01-03,214.75,1012.0,43824,414,30
Retargeting,FR,mobile,2025-01-03,79.99,433.31,16296,458,21
Prospecting,UK,desktop,2025-01-03,211.99,390.95,41500,865,63
Brand Awareness,US,mobile,2025-01-03,249.48,358.96,52533,525,11
Holiday Push,UK,tablet,2025-01-03,150.71,605.94,30945,290,12
Summer Sale,CA,desktop,2025-01-04,153.15,656.92,36226,831,22
Retargeting,FR,tablet,2025-01-04,104.5,498.88,20650,237,4
Prospecting,CA,tablet,2025-01-04,289.29,522.32,53919,1173,82
Brand Awareness,US,tablet,2025-01-04,245.8,280.08,46626,1351,101
Holiday Push,FR,mobile,2025-01-04,125.23,364.17,29522,806,56
Summer Sale,US,tablet,2025-01-05,132.26,639.48,31321,309,15
Retargeting,CA,desktop,2025-01-05,104.36,453.12,21760,437,15
Prospecting,UK,tablet,2025-01-05,319.65,674.08,72022,1669,104
Brand Awareness,FR,mobile,2025-01-05,326.98,382.66,69010,735,24
Holiday Push,DE,mobile,2025-01-05,147.42,473.42,28483,272,15
Summer Sale,DE,tablet,2025-01-06,223.79,1075.13,41233,545,32
Retargeting,UK,mobile,2025-01-06,70.14,420.03,15028,276,18
Prospecting,US,tablet,2025-01-06,189.15,362.12,38067,648,46
Brand Awareness,US,mobile,2025-01-06,327.62,416.13,60163,1445,98
Holiday Push,US,desktop,2025-01-06,114.09,416.69,21495,258,12
Summer Sale,US,mobile,2025-01-07,213.27,1023.27,39641,885,46
Retargeting,UK,mobile,2025-01-07,113.02,656.8,21471,401,13
Prospecting,FR,desktop,2025-01-07,199.7,287.88,40624,1153,77
Brand Awareness,DE,desktop,2025-01-07,335.39,439.58,76134,1717,84
Holiday Push,US,tablet,2025-01-07,116.29,344.71,26065,243,9
Summer Sale,DE,mobile,2025-01-08,177.49,870.51,37604,347,17
Retargeting,DE,tablet,2025-01-08,95.13,519.17,18465,196,14
Prospecting,FR,mobile,2025-01-08,264.18,498.23,54197,1129,57
Brand Awareness,UK,desktop,2025-01-08,330.55,367.18,64766,704,41
Holiday Push,US,mobile,2025-01-08,176.04,744.2,31785,688,37
Summer Sale,DE,desktop,2025-01-09,184.06,774.87,34593,542,13
Retargeting,CA,mobile,2025-01-09,78.39,389.9,16665,244,19
Prospecting,FR,mobile,2025-01-09,275.18,506.14,64916,667,48
Brand Awareness,FR,mobile,2025-01-09,370.15,487.25,70079,995,32
Holiday Push,US,mobile,2025-01-09,155.75,639.85,32758,443,32
